,CarName,CarMileage,CarPrice,CarBadge,CarDealer,CarRating,CarReviewCount,PageNumb
0,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",1
1,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),1
2,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),1
3,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),1
4,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),1
5,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),1
6,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),1
7,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",1
8,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),1
9,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),1
10,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),1
11,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",1
12,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",1
13,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",1
14,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),1
15,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",1
16,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),1
17,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),1
18,2020 Lincoln MKZ Hybrid Reserve,"13,881 mi.","$40,000",Good Deal,"
Way Scarff Ford in Auburn
",4.7,(586 reviews),1
19,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",1
20,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),1
21,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",2
22,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),2
23,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),2
24,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),2
25,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),2
26,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),2
27,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",2
28,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),2
29,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",2
30,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),2
31,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",2
32,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",2
33,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),2
34,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),2
35,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",2
36,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),2
37,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",2
38,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),2
39,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),2
40,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),2
41,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",2
42,2019 Ford Edge Titanium,"27,056 mi.","$33,999","Good Deal | $1,088 under","
Cornerstone Plymouth
",4.6,(173 reviews),3
43,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),3
44,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),3
45,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),3
46,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),3
47,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),3
48,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),3
49,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",3
50,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),3
51,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),3
52,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",3
53,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),3
54,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",3
55,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",3
56,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),3
57,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",3
58,2018 Hyundai IONIQ Hybrid SEL,"110,136 mi.","$18,250",Good Deal,"
Toyota of Olympia
",3.4,(111 reviews),3
59,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",3
60,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),3
61,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),3
62,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,3
63,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",4
64,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),4
65,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),4
66,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),4
67,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),4
68,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),4
69,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),4
70,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",4
71,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),4
72,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),4
73,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",4
74,2015 Maserati GranTurismo Sport,"28,838 mi.","$56,000","Good Deal | $1,970 under","
Ferrari Maserati of Central Florida
",4.1,(33 reviews),4
75,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",4
76,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",4
77,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),4
78,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",4
79,2018 Hyundai IONIQ Hybrid SEL,"110,136 mi.","$18,250",Good Deal,"
Toyota of Olympia
",3.4,(111 reviews),4
80,2020 Mercedes-Benz AMG SLC 43 Base,"9,263 mi.","$64,017",Great Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",4
81,2022 Lexus IS 500 F-SPORT PERFORMANCE,"2,760 mi.","$74,998",Great Deal,"
CarMax Melbourne - Now offering Curbside Pickup and Home Delivery
",,(0 reviews),4
82,2021 Lincoln Corsair Reserve,,"$37,500","Great Deal | $2,934 under","
Mullinax Ford of New Smyrna Beach
",4.6,(715 reviews),4
83,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,4
84,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",5
85,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),5
86,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),5
87,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),5
88,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),5
89,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),5
90,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",5
91,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),5
92,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),5
93,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",5
94,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",5
95,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",5
96,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),5
97,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),5
98,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),5
99,2020 Audi S6 2.9T Premium Plus,"23,588 mi.","$69,991",Fair Deal,"
Daytona Motor Company
",,,5
100,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",5
101,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),5
102,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",5
103,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),5
104,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",5
105,2019 Honda CR-V EX-L,"34,591 mi.","$29,855",Good Deal,"
Rapids Honda
",4.6,"(2,741 reviews)",6
106,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),6
107,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),6
108,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),6
109,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),6
110,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),6
111,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",6
112,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),6
113,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",6
114,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),6
115,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",6
116,2018 Lincoln Navigator L Black Label,"57,774 mi.","$59,999","Great Deal | $3,914 under","
Northwest Chevrolet of Bellingham
",4.6,"(1,483 reviews)",6
117,2020 Jaguar XE R-Dynamic S,"10,951 mi.","$44,998",Good Deal,"
CarMax Renton - Now offering Curbside Pickup
",4.0,(4 reviews),6
118,2022 Mercedes-Benz AMG GLC 43 AMG GLC 43,"4,603 mi.","$74,995",Good Deal,"
Mercedes-Benz of Lynnwood
",4.5,(125 reviews),6
119,2022 Genesis G70 3.3T,"21,010 mi.","$44,851",Fair Deal,"
Mercedes-Benz of Portland
",4.6,"(1,468 reviews)",6
120,2017 Jaguar F-PACE 35t R-Sport,"30,953 mi.","$39,000","Great Deal | $3,824 under","
Millennium Auto Sales
",4.8,(19 reviews),6
121,2016 BMW 535 i,"41,089 mi.","$26,990",Good Deal | $986 under,"
Holler Hyundai
",4.8,"(1,898 reviews)",6
122,2014 Ford Expedition EL XLT,"115,671 mi.","$14,950","Great Deal | $2,878 under","
Shift Seattle - Online
",,(0 reviews),6
123,2017 Nissan NV200 SV,"7,331 mi.","$32,998",Fair Deal,"
CarMax Beaverton - Now offering Curbside Pickup
",3.6,(8 reviews),6
124,2021 Ford Expedition Max Platinum,"11,738 mi.","$75,999",Good Deal | $657 under,"
Jess Ford of Grand Coulee
",4.9,(22 reviews),6
125,2016 Audi S4 3.0T Premium Plus,"52,136 mi.","$31,999","Good Deal | $1,089 under","
Off Lease Only Orlando
",4.9,"(28,343 reviews)",6
126,2019 Ford Edge Titanium,"27,056 mi.","$33,999","Good Deal | $1,088 under","
Cornerstone Plymouth
",4.6,(173 reviews),7
127,2002 Ford F-350 XLT,"122,742 mi.","$21,688","Good Deal | $1,002 under","
Autowise
",4.5,(78 reviews),7
128,2014 Chevrolet SS Base,"75,264 mi.","$36,950",Good Deal,"
LKL Motors
",4.7,(30 reviews),7
129,2012 Ferrari FF Base,"19,920 mi.","$151,895",Good Deal,"
Ferrari Maserati of Central Florida
",4.1,(33 reviews),7
130,2007 Mazda MX-5 Miata Grand Touring,"105,722 mi.","$10,499","Great Deal | $1,246 under","
Executive Autosport
",4.7,(39 reviews),7
131,2017 Lexus CT 200h Base,"44,103 mi.","$23,490",Good Deal | $294 under,"
Buick GMC of Beaverton
",4.4,(568 reviews),7
132,2020 Volvo S90 T6 R-Design,"20,653 mi.","$39,995",Good Deal,"
Off Lease Only Orlando
",4.9,"(28,343 reviews)",7
133,2018 Toyota Avalon Hybrid XLE Plus,"39,998 mi.","$29,889",Good Deal,"
Puyallup Mazda
",4.7,(258 reviews),7
134,2021 Land Rover Range Rover Velar R-Dynamic S,"20,763 mi.","$67,950","Good Deal | $2,036 under","
Jaguar Land Rover Bellevue
",4.5,"(2,210 reviews)",7
135,2017 Maserati Levante S,"63,592 mi.","$39,995",Good Deal,"
Siamak's Car Company LLC
",4.3,(95 reviews),7
136,2019 Porsche 718 Cayman S,"8,610 mi.","$74,773","Great Deal | $4,503 under","
Kuni BMW
",4.7,"(1,397 reviews)",7
